rank,spanish,pos,zipf,band,note
0,de,n pr,7.81,first,
1,la,det n,7.56,first,
2,que,cnj prn,7.52,first,
3,el,det,7.45,first,
4,en,pr,7.45,first,
5,no,adv ij n,7.16,first,
6,por,ij pr,7.04,first,
7,con,pr,6.97,first,
8,para,n pr,6.92,first,
9,más,adv cnj det,6.63,first,
10,si,cnj,6.59,first,
11,pero,cnj n,6.57,first,
12,te,n,6.52,first,
13,mi,n,6.43,first,
14,le,prn,6.4,first,
15,este,det ij n,6.37,first,
16,sus,adj ij,6.37,first,check: commoner as a form of su
17,todo,det prn,6.35,first,
18,ya,adv cnj ij,6.33,first,
19,cuando,adv cnj,6.29,first,
20,yo,n prn,6.29,first,
21,ser,n vblex,6.27,first,
22,sin,pr,6.24,first,
23,sobre,n pr,6.19,first,
24,también,adv,6.19,first,
25,porque,cnj,6.14,first,
26,qué,adv det ij prn,6.13,first,
27,dos,n num,6.12,first,
28,bien,adj adv cnj n,6.11,first,
29,desde,pr,6.1,first,
30,hasta,adv pr,6.09,first,
31,hacer,n vblex,6.07,first,
32,ahora,adv cnj,6.05,first,
33,era,n,6.05,first,
34,vez,n,6.04,first,
35,nada,adv n prn,6.02,first,
36,ni,adv cnj n,6.02,first,
37,donde,adv cnj pr prn,6.01,first,
38,parte,n,6.0,first,
39,solo,adj adv,6.0,first,
40,algo,adv prn,5.99,first,
41,tiempo,n,5.97,first,
42,día,n,5.96,first,
43,mejor,adj adv,5.95,first,
44,mucho,adv det prn,5.95,first,
45,tan,adv det,5.95,first,
46,ver,vblex,5.95,first,
47,vida,n,5.95,first,
48,ese,det ij n,5.93,first,
49,mismo,adj adv,5.93,first,
50,siempre,adv,5.93,first,
51,cada,adv det,5.9,first,
52,después,adv,5.9,first,
53,gente,n,5.9,first,
54,estado,n,5.89,first,
55,mundo,n,5.89,first,
56,año,n,5.88,first,
57,otro,det ij prn,5.87,first,
58,gracias,ij n,5.86,first,
59,menos,adv cnj det n pr,5.84,first,
60,nunca,adv,5.84,first,
61,tanto,adv cnj det n prn,5.84,first,
62,poco,adv det n,5.82,first,
63,tener,vblex,5.81,first,
64,trabajo,n,5.81,first,
65,durante,pr,5.8,first,
66,lugar,n,5.8,first,
67,cómo,adv ij n,5.79,first,
68,hecho,adj n,5.79,first,
69,aunque,cnj,5.78,first,
70,contra,adv n pr,5.78,first,
71,cuenta,n,5.78,first,
72,decir,n vblex,5.78,first,
73,gobierno,n,5.78,first,
74,país,n,5.78,first,
75,casa,n,5.77,first,
76,forma,n,5.77,first,
77,he,adv ij n,5.77,first,
78,nuevo,adj,5.77,first,
79,él,prn,5.76,first,
80,aquí,adv,5.75,first,
81,ella,prn,5.75,first,
82,sí,adv ij n prn,5.75,first,
83,estar,vblex,5.74,first,
84,hoy,adv,5.74,first,
